###FILE ALREADY PARSED###
BPM 70 120
8070 0 1
8570 0 2
9070 0 3
9570 0 4
10070 0 2
10070 0 5
10570 0 4
11070 0 5
11570 0 6
12070 0 1
12070 0 4
14070 0 1
15070 0 2
15070 0 3
15570 0 4
16070 0 1
16070 0 5
16570 0 2
16570 0 4
17070 0 3
17070 0 5
17570 0 6
18070 0 1
18070 0 4
18570 0 2
19070 0 3
19570 0 4
20070 0 1
20070 0 5
20570 0 2
20570 0 4
21070 0 3
21070 0 5
21570 0 4
21570 0 7
22070 0 1
22070 0 6
22570 0 2
23070 0 3
23570 0 4
24070 0 1
24570 0 2
25070 0 3
25570 0 4
26070 0 2
26070 0 5
26570 0 4
27070 0 5
27570 0 6
28070 0 1
28070 0 4
30070 0 1
31070 0 2
31070 0 3
31570 0 4
32070 0 1
32070 0 5
32570 0 2
32570 0 4
33070 0 3
33070 0 5
33570 0 6
34070 0 1
34070 0 4
34570 0 2
35070 0 3
35570 0 4
36070 0 1
36070 0 5
36570 0 2
36570 0 4
37070 0 3
37070 0 5
37570 0 4
37570 0 6
38070 0 1
38070 0 7
38570 0 2
38570 0 6
39070 0 3
39070 0 5
39570 0 4
40070 0 4
40070 0 7
42070 0 5
42070 0 6
44070 0 2
44070 0 5
46070 0 3
46070 0 4
48070 0 2
48070 0 3
50070 0 1
50070 0 2
51070 0 1
51570 0 5
52070 0 4
52070 0 5
53070 0 4
53570 0 3
54070 0 1
54070 0 2
55070 0 1
56070-56570 0 1
56570-57070 0 2
57070 0 1
57070-57570 0 3
57570 0 2
57570-58070 0 4
58070 0 3
58070-58570 0 5
58570 0 1
58570-59070 0 4
59070 0 2
59070 0 3
59070-59570 0 5
59570 0 1
59570-60070 0 6
60070 0 3
60070 0 4
60070-62570 0 5
60570 0 1
61070 0 2
61070 0 3
61570 0 1
62070 0 3
62070 0 4
63070 0 1
63070 0 2
63070-63570 0 3
63570-64070 0 4
64028 0 1
64070 0 2
64070-64570 0 5
64111 0 3
64570 0 2
64570-65070 0 4
65070 0 3
65070-65570 0 5
65570 0 4
65570-66070 0 6
66070 0 1
66070 0 3
66070-67070 0 5
66570 0 2
67070-67570 0 3
67570 0 2
67570-68070 0 4
68070 0 1
68070 0 6
68070-68570 0 5
68570 0 2
68570-69070 0 4
69070 0 3
69070 0 7
69070-69570 0 5
69570 0 4
69570-70070 0 6
70070 0 3
70070 0 7
70070-72070 0 5
71070 0 1
71070 0 2
71070 0 4
71070 0 6
71570 0 3
72070-72570 0 1
72570-73070 0 2
73070-73570 0 3
73570 0 2
73570-74070 0 4
74070 0 1
74070-74570 0 5
74570 0 2
74570-75070 0 4
75070 0 3
75070-75570 0 5
75570 0 2
75570-76070 0 6
76070 0 1
76070 0 3
76070-78570 0 5
77070 0 1
77070 0 3
78070 0 1
78070 0 2
79070 0 1
79070 0 2
79070-79570 0 3
79570-80070 0 4
80070 0 2
80070 0 3
80070-80570 0 5
80570 0 1
80570-81070 0 4
81070 0 2
81070 0 3
81070-81570 0 5
81570 0 1
81570-82070 0 6
82070 0 2
82070 0 3
82070-83070 0 5
82570 0 1
83070 0 2
83070-83570 0 3
83570 0 1
83570-84070 0 4
84070 0 2
84070 0 3
84070-84570 0 5
84570-85070 0 4
85070-85570 0 5
85570-86070 0 6
86070 0 3
86070 0 4
86070-86570 0 7
86570-87070 0 6
87070 0 2
87070-87570 0 5
87570-88070 0 6
88070 0 1
88070 0 7
88070-90570 0 4
90070 0 3
90070 0 6
92070 0 3
92070 0 6
92070-93570 0 5
93570-96070 0 4
94070 0 2
94070 0 5
96070 0 2
96070 0 5
98070 0 1
98070 0 4
99070 0 3
99570 0 6
100070 0 5
100070 0 6
101070 0 4
101570 0 3
102070 0 1
102070 0 2
103070 0 1
106632 0 1
107570 0 2
108195 0 3
108695 0 4
109257 0 6
110070 0 4
110070 0 5
110632 0 2
111257 0 3
114570 0 4
115070 0 5
115570 0 6
116070 0 7
116820 0 6
117570 0 4
118070 0 1
118070 0 3
118070 0 4
118570 0 2
118570 0 7
119070 0 3
119070 0 6
119570 0 4
119570 0 5
120570 0 6
121070 0 1
121070 0 5
121570 0 2
121570 0 4
122070 0 1
122570 0 1
122570 0 2
123070 0 2
123070 0 3
123570 0 4
124070 0 3
124570 0 5
125070 0 4
125570 0 6
126070 0 5
126070-128070 0 7
128070 0 4
128070-130070 0 6
130070 0 3
130070-132070 0 5
132070 0 2
132070-134070 0 4
134070 0 7
134070-136070 0 3
136070 0 6
136070-137070 0 2
137070-137570 0 1
137570-138070 0 4
138070 0 7
138070-138570 0 4
139070 0 6
139070-139570 0 3
139570 0 5
139570-140070 0 2
140070 0 4
140070-143070 0 1
145828-146400 0 6
145828-146400 0 7
146400-146971 0 5
146400-146971 0 6
146971-147740 0 4
146971-147740 0 5
147740-148585 0 3
147740-148585 0 4
148585-149275 0 2
148585-149275 0 3
149275-149965 0 1
149275-149965 0 2
150205 0 2
150325 0 3
150445 0 4
150570 0 5
150695 0 4
150945 0 5
151070 0 3
151195 0 5
151320 0 4
151445 0 5
151570 0 6
151695 0 7
151820 0 6
151945 0 5
152070 0 6
152195 0 5
152320 0 6
152382 0 7
152445 0 6
152570 0 5
152695 0 4
152820 0 5
152945 0 6
153195 0 5
153320 0 6
153445 0 7
153570 0 5
153695 0 6
153945 0 4
154070 0 5
154195 0 6
154320 0 5
154445 0 6
154570 0 7
154695 0 6
154820 0 5
154945 0 4
155070 0 3
155195 0 2
155320 0 1
155445 0 2
155570 0 3
155695 0 4
155820 0 3
155945 0 2
156195 0 3
156320 0 4
156445 0 5
156570 0 6
156695 0 3
156820 0 6
156945 0 5
157070 0 4
157195 0 5
157320 0 6
157445 0 7
157570 0 6
157632 0 7
157695 0 6
157820 0 5
157945 0 4
158070 0 3
158195 0 4
158320 0 6
158445 0 5
158570 0 4
158695 0 3
158820 0 2
158945 0 1
159195 0 2
159320 0 3
159445 0 4
159570 0 5
159695 0 3
159820 0 5
159945 0 4
160070 0 3
160195 0 4
160320 0 5
160445 0 6
160570 0 5
160632 0 6
160695 0 5
160820 0 4
160945 0 3
161070 0 2
161195 0 4
161320 0 6
161445 0 5
161570 0 4
161695 0 3
161820 0 2
161945 0 1
162195 0 1
162320 0 2
162445 0 3
162570 0 4
162695 0 3
162945 0 5
163070 0 3
163195 0 5
163320 0 4
163445 0 5
163570 0 6
163695 0 7
163820 0 6
163945 0 5
164070 0 6
164195 0 4
164320 0 5
164382 0 6
164445 0 5
164570 0 4
164695 0 3
164820 0 4
164945 0 5
165195 0 4
165320 0 5
165445 0 7
165570 0 4
165695 0 6
165945 0 4
166070 0 5
166195 0 6
166320 0 5
166445 0 6
166570 0 7
166695 0 6
166820 0 5
166945 0 4
167070 0 3
167195 0 2
167320 0 1
167445 0 2
167570 0 3
167695 0 4
167820 0 3
167945 0 1
168195 0 2
168320 0 3
168445 0 4
168570 0 5
168695 0 4
168820 0 6
168945 0 5
169070 0 3
169195 0 4
169320 0 5
169445 0 7
169570 0 6
169632 0 7
169695 0 6
169820 0 5
169945 0 3
170070 0 2
170195 0 4
170320 0 6
170445 0 5
170570 0 4
170695 0 3
170820 0 2
170945 0 1
171195 0 2
171320 0 3
171445 0 4
