###FILE ALREADY PARSED###
BPM 260 120
BPM 260 -1500
BPM 260 120
BPM 90792.15 240
BPM 94092.15 300
BPM 94692.15 360
BPM 95292.15 300
BPM 95892.15 240
BPM 96492.15 180
BPM 97092.15 120
BPM 97992.15 120
BPM 184034.78 360
BPM 184457.32 300
BPM 184879.85 240
BPM 185302.39 180
BPM 185724.92 120
2220.7799999999997 0 6
2318.82 0 7
2416.86 0 1
2514.9 0 2
2612.94 0 3
2710.98 0 4
2809.02 0 5
2907.06 0 6
3005.1 0 7
3103.14 0 1
3201.18 0 2
3299.22 0 3
3397.26 0 4
3495.29 0 5
3593.33 0 6
3691.37 0 7
3789.41 0 6
3887.45 0 5
3985.49 0 4
4083.53 0 3
4181.57 0 2
4279.610000000001 0 1
4377.65 0 7
4475.69 0 6
4573.73 0 5
4671.77 0 4
4769.8 0 3
4867.84 0 2
4965.88 0 1
5063.92 0 7
5161.96 0 6
5260 0 5
5358.04 0 4
5456.08 0 5
5554.12 0 6
5652.16 0 7
5750.2 0 1
5848.24 0 2
5946.28 0 3
6044.31 0 4
6142.35 0 5
6240.39 0 6
6338.43 0 7
6436.47 0 1
6534.51 0 2
6632.55 0 3
6730.59 0 4
6828.63 0 5
6926.67 0 4
7024.71 0 3
7122.75 0 2
7220.78 0 1
7318.82 0 7
7416.86 0 6
7514.9 0 5
7612.94 0 4
7710.98 0 3
7809.02 0 2
7907.06 0 1
8005.1 0 7
8103.14 0 6
8201.18 0 5
8299.220000000001 0 4
8397.26 0 3
8495.29 0 2
8593.33 0 3
8691.37 0 4
8789.41 0 5
8887.45 0 6
8985.49 0 7
9083.53 0 1
9181.57 0 2
9279.61 0 3
9377.65 0 4
9475.69 0 5
9573.73 0 6
9671.77 0 7
9769.8 0 1
9867.84 0 2
9965.88 0 3
10063.92 0 2
10161.96 0 1
10260 0 7
10358.04 0 6
10456.08 0 5
10554.12 0 4
10652.16 0 3
10750.2 0 2
10848.24 0 1
10946.28 0 7
11044.31 0 6
11142.35 0 5
11240.39 0 4
11338.43 0 3
11436.47 0 2
11534.51 0 1
11632.55 0 6
11730.59 0 7
11828.63 0 1
11926.67 0 2
12024.71 0 3
12122.75 0 4
12220.78 0 5
12318.82 0 6
12416.86 0 7
12514.9 0 1
12612.94 0 2
12710.98 0 3
12809.02 0 4
12809.02 0 1
12907.06 0 5
13005.1 0 2
13005.1 0 6
13103.14 0 7
