###FILE ALREADY PARSED###
BPM 0 120
3069.76 0 1
3100.24 0 2
3130.73 0 3
3161.22 0 4
3191.71 0 5
3222.2 0 6
3252.68-3862.4399999999996 0 7
3862.44-3984.39 0 4
3984.39-4594.15 0 6
4594.15-4716.099999999999 0 3
4716.1-5325.860000000001 0 5
5325.85-5447.8 0 2
5447.81-6179.52 0 4
6179.51-6301.46 0 3
6911.22-7155.12 0 5
7155.12-7277.07 0 6
7277.07-7338.049999999999 0 5
7338.05-7399.03 0 4
7520.98-7886.83 0 7
8191.709999999999-8374.64 0 3
8374.63-8618.529999999999 0 7
8618.54-8740.490000000002 0 6
8740.49-8984.39 0 5
8984.39-9045.369999999999 0 2
9045.37-9106.35 0 1
9106.34-9167.32 0 3
9167.32-9228.3 0 5
9228.29-9472.19 0 4
9472.2-9533.18 0 5
9533.17-9594.15 0 6
9655.12-9960 0 2
10081.95-10203.900000000001 0 1
12764.88-13008.779999999999 0 5
13008.78-13130.730000000001 0 6
13130.73-13191.71 0 5
13191.71-13252.689999999999 0 4
13374.63-13740.48 0 7
14045.37-14228.300000000001 0 3
14228.29-14472.19 0 7
14472.2-14594.150000000001 0 6
14594.15-14838.05 0 5
14838.05-14899.029999999999 0 2
14899.02-14960 0 1
14960-15020.98 0 3
15020.98-15081.96 0 5
15081.95-15325.85 0 4
15325.85-15386.83 0 5
15386.83-15447.81 0 6
15508.78-15813.66 0 2
15935.61-16057.560000000001 0 1
18618.54-18801.47 0 5
18862.44-19045.37 0 5
19228.29-19594.14 0 5
19594.15-19716.100000000002 0 4
19960-20081.95 0 2
20081.95-20386.83 0 4
20447.81-20691.710000000003 0 3
20813.66-20935.61 0 1
21057.56-21240.49 0 2
21423.42-21789.269999999997 0 3
21789.27-21911.22 0 2
24472.2-24655.13 0 5
24716.1-24899.03 0 5
25081.95-25447.8 0 5
25447.8-25569.75 0 4
25813.66-25935.61 0 2
25935.61-26240.49 0 4
26301.46-26545.36 0 3
26545.37-26667.32 0 1
26667.32-26789.27 0 7
27033.17-27155.12 0 7
27399.02-27520.97 0 6
27764.88-27886.83 0 6
28130.73-28252.68 0 5
28496.59-28618.54 0 5
28862.44-28984.39 0 4
29228.29-29350.24 0 4
29350.24-29472.190000000002 0 3
29594.15-29716.100000000002 0 1
