###FILE ALREADY PARSED###
BPM 0 60
0 0 3
99 0 3
198 0 3
297-594 0 3
297-594 0 5
297-594 0 7
297-594 0 9
297-594 0 10
594 0 2
693 0 2
792 0 2
891-1188 0 2
891-1188 0 5
891-1188 0 7
891-1188 0 9
891-1188 0 11
1188 0 1
1287 0 1
1386 0 1
1485-1782 0 1
1485-1782 0 5
1485-1782 0 6
1485-1782 0 7
1485-1782 0 9
1782 0 3
1881 0 3
1980 0 3
2079-2376 0 3
2079-2376 0 4
2079-2376 0 7
2079-2376 0 9
2079-2376 0 10
2376-2574 0 3
2673-2871 0 5
2673 0 11
2772 0 9
2871 0 10
2970-3168 0 4
2970 0 8
3069 0 9
3168 0 7
3267-3465 0 3
3267 0 8
3366 0 9
3465 0 8
3564-3762 0 2
3564 0 7
3663 0 5
3762 0 6
3861-4059 0 1
3861 0 3
3960 0 5
4059 0 3
4158-4356 0 2
4158 0 4
4257 0 5
4356 0 7
4455-4653 0 3
4455 0 6
4554 0 5
4653 0 4
5050 0 5
5050 0 6
5050 0 7
5149-5347 0 5
5149-5347 0 6
5149-5347 0 7
5644 0 3
5644 0 4
5644 0 6
5743-5941 0 3
5743-5941 0 4
5743-5941 0 6
6238 0 5
6238 0 6
6238 0 8
6337-6535 0 5
6337-6535 0 6
6337-6535 0 8
6832 0 3
6832 0 5
6832 0 7
6931-7129 0 3
6931-7129 0 5
6931-7129 0 7
7426 0 6
7426 0 7
7426 0 9
7525-7723 0 6
7525-7723 0 7
7525-7723 0 9
8020 0 5
8020 0 6
8020 0 8
8119-8317 0 5
8119-8317 0 6
8119-8317 0 8
8614 0 6
8614 0 8
8614 0 10
8713-8911 0 6
8713-8911 0 8
8713-8911 0 10
9208 0 6
9208 0 7
9208 0 9
9307-9505 0 6
9307-9505 0 7
9307-9505 0 9
9802 0 6
9802 0 8
9802 0 11
9901-10099 0 6
9901-10099 0 8
9901-10099 0 11
10396 0 6
10396 0 7
10396 0 10
10495-10693 0 6
10495-10693 0 7
10495-10693 0 10
10990 0 6
10990 0 7
10990 0 9
11089-11287 0 6
11089-11287 0 7
11089-11287 0 9
11584 0 6
11584 0 7
11584 0 10
11683-11881 0 6
11683-11881 0 7
11683-11881 0 10
12178 0 6
12178 0 8
12178 0 10
12277-12475 0 6
12277-12475 0 8
12277-12475 0 10
12772 0 6
